protocol,model,seed,endpoint,budget,N,k,diagnostic_only,U,regret_raw,regret_display,improvement_over_random,oracle_improvement_fraction,cutoff_score,strictly_selected_count,cutoff_tied_count,selected_from_cutoff_tie
loco_iso834,fire_only,44,J,50%,158,79,True,0.36237104545594967,0.008225754890119397,0.008225754890119397,-5.551115123125783e-17,-6.748456764489424e-15,0.36168770942216116,0,158,79
loco_iso834,fire_only,45,terminal,10%,158,15,True,0.055184611932763576,0.013052362954943497,0.013052362954943497,-6.938893903907228e-18,-5.316197479230511e-16,0.05562124401330948,0,158,15
loco_iso834,fire_only,45,terminal,25%,158,39,True,0.05518461193276358,0.009110957696061767,0.009110957696061767,-1.3877787807814457e-17,-1.5231974805253662e-15,0.05562124401330948,0,158,39
loco_iso834,fire_only,45,terminal,50%,158,79,True,0.05518461193276357,0.005399485837809644,0.005399485837809644,0.0,0.0,0.05562124401330948,0,158,79
loco_iso834,fire_only,45,J,10%,158,15,True,0.36237104545594967,0.020718103905304153,0.020718103905304153,-5.551115123125783e-17,-2.6793548041356368e-15,0.36282362764080367,0,158,15
loco_iso834,fire_only,45,J,25%,158,39,True,0.36237104545594967,0.013499814357744,0.013499814357744,-5.551115123125783e-17,-4.1119936734103886e-15,0.36282362764080367,0,158,39
loco_iso834,fire_only,45,J,50%,158,79,True,0.36237104545594967,0.008225754890119397,0.008225754890119397,-5.551115123125783e-17,-6.748456764489424e-15,0.36282362764080367,0,158,79
loco_iso834,fire_only,46,terminal,10%,158,15,True,0.055184611932763576,0.013052362954943497,0.013052362954943497,-6.938893903907228e-18,-5.316197479230511e-16,0.054431136697530746,0,158,15
loco_iso834,fire_only,46,terminal,25%,158,39,True,0.05518461193276358,0.009110957696061767,0.009110957696061767,-1.3877787807814457e-17,-1.5231974805253662e-15,0.054431136697530746,0,158,39
loco_iso834,fire_only,46,terminal,50%,158,79,True,0.05518461193276357,0.005399485837809644,0.005399485837809644,0.0,0.0,0.054431136697530746,0,158,79
loco_iso834,fire_only,46,J,10%,158,15,True,0.36237104545594967,0.020718103905304153,0.020718103905304153,-5.551115123125783e-17,-2.6793548041356368e-15,0.3606455287275215,0,158,15
loco_iso834,fire_only,46,J,25%,158,39,True,0.36237104545594967,0.013499814357744,0.013499814357744,-5.551115123125783e-17,-4.1119936734103886e-15,0.3606455287275215,0,158,39
loco_iso834,fire_only,46,J,50%,158,79,True,0.36237104545594967,0.008225754890119397,0.008225754890119397,-5.551115123125783e-17,-6.748456764489424e-15,0.3606455287275215,0,158,79
loco_iso834,global_stats,42,terminal,10%,158,15,True,0.044720955193042755,0.002588706215222676,0.002588706215222676,0.010463656739720814,0.8016676195598574,0.04945596680045128,14,1,1
loco_iso834,global_stats,42,terminal,25%,158,39,True,0.04850052201595062,0.0024268677792488036,0.0024268677792488036,0.006684089916812949,0.7336319780852647,0.052842915058135986,38,1,1
loco_iso834,global_stats,42,terminal,50%,158,79,True,0.051718127642628516,0.0019330015476745899,0.0019330015476745899,0.0034664842901350537,0.6420026636353339,0.05519502982497215,78,1,1
loco_iso834,global_stats,42,J,10%,158,15,True,0.34736181869895927,0.005708877148313751,0.005708877148313751,0.015009226756990346,0.7244498254083857,0.355145616363734,14,1,1
loco_iso834,global_stats,42,J,25%,158,39,True,0.3521999842972837,0.0033287531990780495,0.0033287531990780495,0.010171061158665895,0.7534222981985996,0.3568991263086597,38,1,1
