model,sample_id,seed_mean_case_MAE,MAE_percentage_points,cumulative_fraction
global_stats,b005_0172,0.00583698612744686,0.583698612744686,0.19375
global_stats,b004_0192,0.00585243526052254,0.5852435260522539,0.2
global_stats,b005_0219,0.00598466853137872,0.598466853137872,0.20625
global_stats,b005_0438,0.00610259966772106,0.610259966772106,0.2125
global_stats,b005_0378,0.00620693564414974,0.620693564414974,0.21875
global_stats,b004_0115,0.006270524664003299,0.6270524664003299,0.225
global_stats,b005_0025,0.006287981020133939,0.6287981020133939,0.23125
global_stats,b004_0140,0.00633407029949246,0.633407029949246,0.2375
global_stats,b005_0345,0.006352805651602141,0.635280565160214,0.24375
global_stats,b005_0442,0.00644454147483476,0.644454147483476,0.25
global_stats,b005_0133,0.00645600463278956,0.645600463278956,0.25625
global_stats,b005_0470,0.0065509507890607,0.65509507890607,0.2625
global_stats,b004_0263,0.0065664956071337,0.65664956071337,0.26875
global_stats,b005_0503,0.00659844358680674,0.659844358680674,0.275
global_stats,b004_0197,0.00661489230687496,0.661489230687496,0.28125
global_stats,b004_0241,0.00661803019828478,0.661803019828478,0.2875
global_stats,b005_0380,0.0066407618341875405,0.6640761834187541,0.29375
global_stats,b005_0273,0.0066892955452203,0.66892955452203,0.3
global_stats,b005_0160,0.00673913428040796,0.673913428040796,0.30625
global_stats,b004_0350,0.00676728428387246,0.676728428387246,0.3125
global_stats,b005_0087,0.00678391801040676,0.6783918010406761,0.31875
global_stats,b004_0321,0.00693982536675494,0.693982536675494,0.325
global_stats,b005_0604,0.0069614383040881,0.69614383040881,0.33125
global_stats,b005_0211,0.006963834215383021,0.6963834215383021,0.3375
global_stats,b005_0541,0.006964040010190379,0.6964040010190379,0.34375
global_stats,b004_0313,0.00699282904140282,0.699282904140282,0.35
global_stats,b005_0040,0.0070017959617200195,0.700179596172002,0.35625
global_stats,b004_0106,0.007046185262867601,0.7046185262867601,0.3625
global_stats,b005_0181,0.007057173525700761,0.7057173525700761,0.36875
global_stats,b004_0259,0.00710736913759194,0.710736913759194,0.375
global_stats,b005_0196,0.00714277908450262,0.7142779084502621,0.38125
global_stats,b004_0311,0.00716986116327218,0.716986116327218,0.3875
global_stats,b005_0004,0.007195233004014941,0.719523300401494,0.39375
global_stats,b005_0482,0.00720263441077994,0.720263441077994,0.4
global_stats,b005_0065,0.007319077128758141,0.731907712875814,0.40625
global_stats,b004_0088,0.00748230199344818,0.7482301993448179,0.4125
global_stats,b005_0628,0.007515458200798619,0.7515458200798619,0.41875
global_stats,b005_0460,0.007615353826616581,0.7615353826616581,0.425
global_stats,b004_0024,0.00762399330002358,0.7623993300023579,0.43125
global_stats,b005_0434,0.00765570910250548,0.765570910250548,0.4375
global_stats,b005_0493,0.007698910097118239,0.7698910097118239,0.44375
global_stats,b004_0065,0.0077486139829041,0.77486139829041,0.45
global_stats,b005_0626,0.00780903990151446,0.780903990151446,0.45625
global_stats,b005_0449,0.00782614467573944,0.782614467573944,0.4625
global_stats,b004_0244,0.007874854593003359,0.7874854593003359,0.46875
global_stats,b004_0154,0.00793304851309196,0.7933048513091959,0.475
global_stats,b005_0544,0.00795759158056286,0.7957591580562859,0.48125
global_stats,b004_0108,0.007967220100223,0.7967220100223,0.4875
global_stats,b004_0181,0.00803406062673344,0.803406062673344,0.49375
global_stats,b005_0627,0.008093742757547059,0.8093742757547059,0.5
global_stats,b004_0198,0.00816539403845048,0.816539403845048,0.50625
global_stats,b004_0270,0.00823402754107456,0.823402754107456,0.5125
global_stats,b004_0388,0.00831235205052324,0.8312352050523241,0.51875
global_stats,b004_0378,0.0083856887626843,0.83856887626843,0.525
