example,sample_id,model,seed,time_s,prediction
1,b005_0291,capacity_matched_deepsets,46,420.0,0.7491813898086548
1,b005_0291,capacity_matched_deepsets,46,480.0,0.7477462291717529
1,b005_0291,capacity_matched_deepsets,46,540.0,0.744570791721344
1,b005_0291,capacity_matched_deepsets,46,600.0,0.7393507957458496
1,b005_0291,capacity_matched_deepsets,46,660.0,0.7315627336502075
1,b005_0291,capacity_matched_deepsets,46,720.0,0.7203987240791321
1,b005_0291,capacity_matched_deepsets,46,780.0,0.7084042429924011
1,b005_0291,capacity_matched_deepsets,46,840.0,0.6954702734947205
1,b005_0291,capacity_matched_deepsets,46,900.0,0.6794712543487549
1,b005_0291,capacity_matched_deepsets,46,960.0,0.6610427498817444
1,b005_0291,capacity_matched_deepsets,46,1020.0,0.6383402943611145
1,b005_0291,capacity_matched_deepsets,46,1080.0,0.6129103899002075
1,b005_0291,capacity_matched_deepsets,46,1140.0,0.5849423408508301
1,b005_0291,capacity_matched_deepsets,46,1200.0,0.5537371039390564
1,b005_0291,capacity_matched_deepsets,46,1260.0,0.5217016935348511
1,b005_0291,capacity_matched_deepsets,46,1320.0,0.49080100655555725
1,b005_0291,capacity_matched_deepsets,46,1380.0,0.46242624521255493
1,b005_0291,capacity_matched_deepsets,46,1440.0,0.4442548155784607
1,b005_0291,capacity_matched_deepsets,46,1500.0,0.43154799938201904
1,b005_0291,capacity_matched_deepsets,46,1560.0,0.4201984405517578
1,b005_0291,capacity_matched_deepsets,46,1620.0,0.4097912609577179
1,b005_0291,capacity_matched_deepsets,46,1680.0,0.3997889757156372
1,b005_0291,capacity_matched_deepsets,46,1740.0,0.3903363049030304
1,b005_0291,capacity_matched_deepsets,46,1800.0,0.3813367784023285
1,b005_0291,capacity_matched_deepsets,46,1860.0,0.37267470359802246
1,b005_0291,capacity_matched_deepsets,46,1920.0,0.364261656999588
1,b005_0291,capacity_matched_deepsets,46,1980.0,0.35602787137031555
1,b005_0291,capacity_matched_deepsets,46,2040.0,0.34791696071624756
1,b005_0291,capacity_matched_deepsets,46,2100.0,0.3398838937282562
1,b005_0291,capacity_matched_deepsets,46,2160.0,0.33180633187294006
1,b005_0291,capacity_matched_deepsets,46,2220.0,0.3230460584163666
1,b005_0291,capacity_matched_deepsets,46,2280.0,0.3131939172744751
1,b005_0291,capacity_matched_deepsets,46,2340.0,0.30342763662338257
1,b005_0291,capacity_matched_deepsets,46,2400.0,0.29375264048576355
1,b005_0291,capacity_matched_deepsets,46,2460.0,0.2841881513595581
1,b005_0291,capacity_matched_deepsets,46,2520.0,0.2747651934623718
1,b005_0291,capacity_matched_deepsets,46,2580.0,0.2654523253440857
1,b005_0291,capacity_matched_deepsets,46,2640.0,0.25523924827575684
1,b005_0291,capacity_matched_deepsets,46,2700.0,0.24530205130577087
1,b005_0291,capacity_matched_deepsets,46,2760.0,0.23570899665355682
1,b005_0291,capacity_matched_deepsets,46,2820.0,0.22588862478733063
1,b005_0291,capacity_matched_deepsets,46,2880.0,0.2166379988193512
1,b005_0291,capacity_matched_deepsets,46,2940.0,0.20792318880558014
1,b005_0291,capacity_matched_deepsets,46,3000.0,0.19976668059825897
1,b005_0291,capacity_matched_deepsets,46,3060.0,0.19214826822280884
1,b005_0291,capacity_matched_deepsets,46,3120.0,0.18447162210941315
1,b005_0291,capacity_matched_deepsets,46,3180.0,0.1773739606142044
1,b005_0291,capacity_matched_deepsets,46,3240.0,0.17081871628761292
1,b005_0291,capacity_matched_deepsets,46,3300.0,0.16475939750671387
1,b005_0291,capacity_matched_deepsets,46,3360.0,0.15909190475940704
1,b005_0291,capacity_matched_deepsets,46,3420.0,0.15270254015922546
1,b005_0291,capacity_matched_deepsets,46,3480.0,0.14669044315814972
1,b005_0291,capacity_matched_deepsets,46,3540.0,0.1410209983587265
1,b005_0291,capacity_matched_deepsets,46,3600.0,0.13570544123649597
1,b005_0291,gnn,42,0.0,0.9971866011619568
1,b005_0291,gnn,42,60.0,0.996908962726593
1,b005_0291,gnn,42,120.0,0.979919970035553
1,b005_0291,gnn,42,180.0,0.7911109924316406
1,b005_0291,gnn,42,240.0,0.7385169863700867
1,b005_0291,gnn,42,300.0,0.733746349811554
1,b005_0291,gnn,42,360.0,0.7370371222496033
1,b005_0291,gnn,42,420.0,0.7395546436309814
1,b005_0291,gnn,42,480.0,0.7386376261711121
1,b005_0291,gnn,42,540.0,0.7351576685905457
1,b005_0291,gnn,42,600.0,0.7287250757217407
1,b005_0291,gnn,42,660.0,0.721631646156311
1,b005_0291,gnn,42,720.0,0.7120944857597351
1,b005_0291,gnn,42,780.0,0.7015618681907654
1,b005_0291,gnn,42,840.0,0.6901316046714783
1,b005_0291,gnn,42,900.0,0.6753259301185608
1,b005_0291,gnn,42,960.0,0.6549005508422852
1,b005_0291,gnn,42,1020.0,0.6317941546440125
1,b005_0291,gnn,42,1080.0,0.6048901677131653
1,b005_0291,gnn,42,1140.0,0.576373279094696
1,b005_0291,gnn,42,1200.0,0.5466111302375793
1,b005_0291,gnn,42,1260.0,0.5180681347846985
1,b005_0291,gnn,42,1320.0,0.49391716718673706
1,b005_0291,gnn,42,1380.0,0.47138500213623047
1,b005_0291,gnn,42,1440.0,0.452839732170105
1,b005_0291,gnn,42,1500.0,0.441192626953125
1,b005_0291,gnn,42,1560.0,0.43041324615478516
1,b005_0291,gnn,42,1620.0,0.42037877440452576
1,b005_0291,gnn,42,1680.0,0.41078469157218933
1,b005_0291,gnn,42,1740.0,0.4014475643634796
