protocol,model,seed,test_geometries,threshold,reference_events,reference_censored,predicted_events,predicted_censored,true_positive,false_negative,false_positive,true_negative,recall,false_positive_rate,balanced_accuracy,both_event_count,both_event_population_fraction,both_event_reference_event_fraction,conditional_timing_MAE_s,conditional_timing_median_abs_s,conditional_timing_bias_s,optimistic_late_or_missed_count,recross_above_threshold_count,recross_fraction_all_cases,recross_fraction_predicted_event_cases
lcro_9_15,deepsets,43,264,0.8,226,38,225,39,225,1,0,38,0.995575221238938,0.0,0.997787610619469,225,0.8522727272727273,0.995575221238938,37.6,60.0,-20.533333333333335,26,0,0.0,0.0
lcro_9_15,deepsets,43,264,0.6,219,45,216,48,216,3,0,45,0.9863013698630136,0.0,0.9931506849315068,216,0.8181818181818182,0.9863013698630136,54.44444444444444,60.0,42.22222222222222,120,0,0.0,0.0
lcro_9_15,deepsets,44,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,32.389380530973455,60.0,-23.893805309734514,16,1,0.003787878787878788,0.004424778761061947
lcro_9_15,deepsets,44,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,33.6986301369863,0.0,5.205479452054795,56,2,0.007575757575757576,0.0091324200913242
lcro_9_15,deepsets,45,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,33.982300884955755,60.0,-18.053097345132745,29,1,0.003787878787878788,0.004424778761061947
lcro_9_15,deepsets,45,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,38.082191780821915,60.0,-9.58904109589041,45,4,0.015151515151515152,0.0182648401826484
lcro_9_15,deepsets,46,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,33.716814159292035,60.0,-23.097345132743364,20,1,0.003787878787878788,0.004424778761061947
lcro_9_15,deepsets,46,264,0.6,219,45,218,46,218,1,0,45,0.9954337899543378,0.0,0.9977168949771689,218,0.8257575757575758,0.9954337899543378,35.77981651376147,60.0,15.412844036697248,78,1,0.003787878787878788,0.0045871559633027525
lcro_9_15,capacity_matched_deepsets,42,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,32.123893805309734,60.0,-26.8141592920354,10,1,0.003787878787878788,0.004424778761061947
lcro_9_15,capacity_matched_deepsets,42,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,40.273972602739725,60.0,32.054794520547944,102,3,0.011363636363636364,0.0136986301369863
lcro_9_15,capacity_matched_deepsets,43,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,31.061946902654867,60.0,-23.628318584070797,13,0,0.0,0.0
lcro_9_15,capacity_matched_deepsets,43,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,35.61643835616438,60.0,-16.986301369863014,30,2,0.007575757575757576,0.0091324200913242
lcro_9_15,capacity_matched_deepsets,44,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,31.858407079646017,60.0,-26.01769911504425,11,1,0.003787878787878788,0.004424778761061947
lcro_9_15,capacity_matched_deepsets,44,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,29.589041095890412,0.0,-4.383561643835616,41,2,0.007575757575757576,0.0091324200913242
lcro_9_15,capacity_matched_deepsets,45,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,33.1858407079646,60.0,-24.690265486725664,15,1,0.003787878787878788,0.004424778761061947
lcro_9_15,capacity_matched_deepsets,45,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,32.87671232876713,0.0,9.315068493150685,65,2,0.007575757575757576,0.0091324200913242
lcro_9_15,capacity_matched_deepsets,46,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,32.92035398230089,60.0,-18.053097345132745,28,1,0.003787878787878788,0.004424778761061947
lcro_9_15,capacity_matched_deepsets,46,264,0.6,219,45,218,46,218,1,0,45,0.9954337899543378,0.0,0.9977168949771689,218,0.8257575757575758,0.9954337899543378,37.15596330275229,60.0,27.24770642201835,96,2,0.007575757575757576,0.009174311926605505
lcro_9_15,gnn,42,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,32.123893805309734,60.0,-26.283185840707965,11,1,0.003787878787878788,0.004424778761061947
lcro_9_15,gnn,42,264,0.6,219,45,218,46,218,1,0,45,0.9954337899543378,0.0,0.9977168949771689,218,0.8257575757575758,0.9954337899543378,30.55045871559633,0.0,10.73394495412844,62,2,0.007575757575757576,0.009174311926605505
lcro_9_15,gnn,43,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,33.1858407079646,60.0,-24.15929203539823,14,0,0.0,0.0
lcro_9_15,gnn,43,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,37.26027397260274,60.0,30.684931506849313,100,2,0.007575757575757576,0.0091324200913242
lcro_9_15,gnn,44,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,33.45132743362832,60.0,-24.95575221238938,14,2,0.007575757575757576,0.008849557522123894
lcro_9_15,gnn,44,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,30.136986301369863,0.0,3.287671232876712,53,2,0.007575757575757576,0.0091324200913242
lcro_9_15,gnn,45,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,31.858407079646017,60.0,-28.672566371681416,6,1,0.003787878787878788,0.004424778761061947
lcro_9_15,gnn,45,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,30.410958904109588,0.0,12.32876712328767,64,2,0.007575757575757576,0.0091324200913242
lcro_9_15,gnn,46,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,32.65486725663717,60.0,-23.097345132743364,17,1,0.003787878787878788,0.004424778761061947
lcro_9_15,gnn,46,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,32.054794520547944,0.0,17.80821917808219,75,2,0.007575757575757576,0.0091324200913242
lcro_9_15,gnn_zero_edge_features,42,264,0.8,226,38,226,38,226,0,0,38,1.0,0.0,1.0,226,0.8560606060606061,1.0,33.45132743362832,60.0,-21.238938053097346,23,1,0.003787878787878788,0.004424778761061947
lcro_9_15,gnn_zero_edge_features,42,264,0.6,219,45,219,45,219,0,0,45,1.0,0.0,1.0,219,0.8295454545454546,1.0,31.232876712328768,0.0,6.027397260273973,61,2,0.007575757575757576,0.0091324200913242
