protocol,model,seed,test_geometries,final_MAE,final_bias,time_average_MAE,time_average_bias
lcro_9_15,gnn_mean,45,264,0.01599505815697326,0.010188506051869781,0.008078944367923098,0.0034961230560094795
lcro_9_15,gnn_mean,46,264,0.012566298800238379,0.0011074304982850497,0.0069791875867160754,-0.0016188840917502586
loco_iso834,fire_only,42,158,0.0055707880307601975,-0.0009433830840678154,0.00833007284058926,-0.0014188595854908992
loco_iso834,fire_only,43,158,0.005729346241377577,0.0032983181314377844,0.00829892599177135,-0.0010081066246998272
loco_iso834,fire_only,44,158,0.005444178522764882,-2.4637089499944373e-05,0.008278370891080754,-0.000683336033788422
loco_iso834,fire_only,45,158,0.005410568434980851,0.00043663208054590827,0.008225989576727781,0.00045258218485413995
loco_iso834,fire_only,46,158,0.005541941268911845,-0.000753475235232824,0.008371915414787923,-0.0017255167284281048
loco_iso834,global_stats,42,158,0.003916979496237598,0.0006063215057306652,0.005918366106360644,-0.0004167779454890605
loco_iso834,global_stats,43,158,0.004448865622847895,0.0024258330983074404,0.005930690045511735,-3.792793560725431e-05
loco_iso834,global_stats,44,158,0.004083972047024135,-0.0010403688949874685,0.0059518582670937525,-0.000315817383035452
loco_iso834,global_stats,45,158,0.004171980403458016,-0.0012749687450218804,0.006053640238964285,-0.0010228052529023014
loco_iso834,global_stats,46,158,0.004159376213822184,-0.0013117520020732396,0.006042965350649023,-0.000615002549320207
loco_iso834,deepsets,42,158,0.003484868951424768,-9.587607523308525e-05,0.004953476938100738,-0.0008979486613947017
loco_iso834,deepsets,43,158,0.0034061424387029455,2.3613153379174728e-07,0.004820526141146744,-0.0012865685411819247
loco_iso834,deepsets,44,158,0.0037529561904412283,-0.0012268482507029666,0.004829828175107012,-0.0009499611482338586
loco_iso834,deepsets,45,158,0.003700876962157744,-0.001081764179317257,0.005071936869200013,-0.0017682851221459581
loco_iso834,deepsets,46,158,0.004405160210555112,-0.0027322918176651,0.005249161353405512,-0.001922382834418534
loco_iso834,capacity_matched_deepsets,42,158,0.0035281831846584247,0.0020937292211795156,0.004513445767900174,-7.834204999171669e-05
loco_iso834,capacity_matched_deepsets,43,158,0.003403687778907486,0.00024055614124370527,0.004784798632741349,-0.0003293637516377807
loco_iso834,capacity_matched_deepsets,44,158,0.003829716716574717,0.0010245520904471604,0.004828916065874295,-0.0008712599629669903
loco_iso834,capacity_matched_deepsets,45,158,0.003748712212413172,-0.0013786326339350471,0.005221870341357858,-0.002149396252775174
loco_iso834,capacity_matched_deepsets,46,158,0.0036650075801188432,-0.0008737678061934966,0.005418522768547819,-0.0032112719921418703
loco_iso834,gnn,42,158,0.005995666254547578,-0.005107648340584357,0.004701056105442308,-0.0015798913456405263
loco_iso834,gnn,43,158,0.003537394813721693,0.00037892940866796277,0.004548780097064211,-0.001691100111757777
loco_iso834,gnn,44,158,0.003465778583401366,-0.0002405933234133298,0.004466699449471221,-0.0006450730731577101
loco_iso834,gnn,45,158,0.0039050100206197065,-0.0012156933876155298,0.004651285747050428,0.0007511867408715319
loco_iso834,gnn,46,158,0.00402537400869629,-0.0009349257084010523,0.005190954802809326,-0.0018320273755330488
loco_iso834,gnn_zero_edge_features,42,158,0.00370291728950754,0.0005723142265519009,0.004612842047752084,-0.0002129379923176425
loco_iso834,gnn_zero_edge_features,43,158,0.003782088455708721,0.001309506382934655,0.004839419091576199,0.00031815885196789513
loco_iso834,gnn_zero_edge_features,44,158,0.004285809949417657,-0.0019521547976551177,0.0045608533882312,-0.0003779923521720995
loco_iso834,gnn_zero_edge_features,45,158,0.0038943551952325844,-0.0011070761593836773,0.004624141445029757,-0.00029683125044223255
loco_iso834,gnn_zero_edge_features,46,158,0.0040282464668720585,-0.0015517221410063248,0.005451595506980575,-0.002532464586088298
loco_iso834,gnn_mean,42,158,0.004040640837784055,-0.0008678924339481547,0.004949286288507124,0.0006971510252934979
loco_iso834,gnn_mean,43,158,0.003918224851353259,-0.001913529148773302,0.004930531433370854,-0.001649626585525232
loco_iso834,gnn_mean,44,158,0.0036501181370849852,-0.0007748483574088616,0.004364055051283611,-0.0011164073199662475
loco_iso834,gnn_mean,45,158,0.0034727855715193327,7.248299691496016e-05,0.004517223732545971,-0.00047956248450599424
loco_iso834,gnn_mean,46,158,0.003988863287281387,-0.0018135381603165519,0.004830392029820172,-0.0016247374942832734
loco_astm_e119,fire_only,42,95,0.006430977700572265,0.001120827582321669,0.008527796517142593,0.00042111995286853924
loco_astm_e119,fire_only,43,95,0.006442005500981682,0.001437931743107344,0.008532955078898284,0.0009111833196590667
loco_astm_e119,fire_only,44,95,0.006433533092862681,0.0012017483381848587,0.008526060126002936,0.0002561627946010079
loco_astm_e119,fire_only,45,95,0.0064688769218168764,0.0018026153115849747,0.008527231069706504,0.0001258695867370006
loco_astm_e119,fire_only,46,95,0.0064258529951697905,0.0009097712604623091,0.008527824895031613,0.00042381585232521206
loco_astm_e119,global_stats,42,95,0.004903648989765268,0.00046277881452911777,0.006617433871551034,-0.0017298656639953452
loco_astm_e119,global_stats,43,95,0.008124340325593948,0.007626546644850781,0.00643610932815231,-0.0004948065733831108
loco_astm_e119,global_stats,44,95,0.004937331888236498,0.0003646534916601683,0.006555028680973406,0.000599382529852169
loco_astm_e119,global_stats,45,95,0.00488870841892142,0.00022964250100286382,0.006393099134428453,-0.000464693290230475
loco_astm_e119,global_stats,46,95,0.004857497701519414,0.0010327176043861792,0.0065918730199337056,0.0015381333212319153
loco_astm_e119,deepsets,42,95,0.004217505925580075,0.00012010328079524793,0.004735336663822327,-0.0003215414919612706
loco_astm_e119,deepsets,43,95,0.004906886776811198,-0.00275095807094323,0.004773996838678916,-0.0024882139504086537
loco_astm_e119,deepsets,44,95,0.0039029948805507863,0.00044655729281274897,0.003976409379719637,-0.00041987404423324536
loco_astm_e119,deepsets,45,95,0.004632666628611715,0.0027232370878520766,0.004447383087193753,0.000707943073490202
loco_astm_e119,deepsets,46,95,0.004224459081888199,0.0015844547826992838,0.004292898994069874,0.001272666731751283
loco_astm_e119,capacity_matched_deepsets,42,95,0.004116002587895644,0.0002634786461528979,0.004007714546955471,-0.0001878442745982595
loco_astm_e119,capacity_matched_deepsets,43,95,0.004173170030117035,-0.0010624929478293972,0.004095650485863811,-0.0007104836286682867
