protocol,model,endpoint,budget,N,k,actual_budget_fraction,independent_seed_count,U_defined_seeds,U_mean,U_sample_sd,U_min,U_max,regret_raw_defined_seeds,regret_raw_mean,regret_raw_sample_sd,regret_raw_min,regret_raw_max,regret_display_defined_seeds,regret_display_mean,regret_display_sample_sd,regret_display_min,regret_display_max,improvement_over_random_defined_seeds,improvement_over_random_mean,improvement_over_random_sample_sd,improvement_over_random_min,improvement_over_random_max,oracle_improvement_fraction_defined_seeds,oracle_improvement_fraction_mean,oracle_improvement_fraction_sample_sd,oracle_improvement_fraction_min,oracle_improvement_fraction_max
iid997,gnn_mean,J,25%,160,40,0.25,5,5,0.3465527864178972,0.00017392557650176434,0.34630917234777975,0.346799815128373,5,0.0008611496935288065,0.00017392557650176434,0.000617535623411325,0.0011081784040045672,5,0.0008611496935288065,0.00017392557650176434,0.000617535623411325,0.0011081784040045672,5,0.16384229261496275,0.00017392557650176434,0.16359526390448698,0.16408590668508022,5,0.9947715136887311,0.0010559923585324853,0.9932716742985315,0.9962506210267623
iid997,gnn_mean,J,50%,160,80,0.5,5,5,0.35855710381213673,8.366525806946675e-05,0.3585108271623661,0.35870377821753213,5,0.00038451089616864387,8.366525806946675e-05,0.0003382342463980059,0.0005311853015640411,5,0.00038451089616864387,8.366525806946675e-05,0.0003382342463980059,0.0005311853015640411,5,0.15183797522072323,8.366525806946675e-05,0.15169130081532783,0.15188425187049387,5,0.9974740203896462,0.0005496248301004832,0.9965104675720764,0.99777802705089
lcro_9_15,fire_only,terminal,10%,264,26,0.09848484848484848,5,5,0.03797059591111337,0.0003536561793643508,0.03750753836133159,0.038362463056627244,5,0.0036186053170862388,0.00035365617936435073,0.0031555477673044577,0.004010472462600112,5,0.0036186053170862388,0.00035365617936435073,0.0031555477673044577,0.004010472462600112,5,0.2871746226349373,0.00035365617936436206,0.28678275548942345,0.28763768018471914,5,0.9875560880747771,0.0012161774944178224,0.9862085080493629,0.9891484826193234
lcro_9_15,fire_only,terminal,25%,264,66,0.25,5,5,0.04581073974964745,4.672071132464149e-05,0.045727163200464216,0.04583163388694326,5,0.0002970906595389011,4.672071132464149e-05,0.00021351411035566703,0.00031798479683470965,5,0.0002970906595389011,4.672071132464149e-05,0.00021351411035566703,0.00031798479683470965,5,0.2793344787964033,4.67207113246508e-05,0.27931358465910744,0.2794180553455865,5,0.9989375639520354,0.00016707953045339832,0.998862843714487,0.9992364449022295
lcro_9_15,fire_only,terminal,50%,264,132,0.5,5,5,0.09766825951983908,0.0,0.09766825951983908,0.09766825951983908,5,0.001589179528181009,0.0,0.001589179528181009,0.001589179528181009,5,0.001589179528181009,0.0,0.001589179528181009,0.001589179528181009,5,0.22747695902621162,0.0,0.22747695902621162,0.22747695902621162,5,0.9930623550987931,0.0,0.9930623550987931,0.9930623550987931
lcro_9_15,fire_only,J,10%,264,26,0.09848484848484848,5,5,0.3379916637799682,0.0,0.3379916637799682,0.3379916637799682,5,0.007277000336403661,0.0,0.007277000336403661,0.007277000336403661,5,0.007277000336403661,0.0,0.007277000336403661,0.007277000336403661,5,0.2171430228433841,0.0,0.2171430228433841,0.2171430228433841,5,0.9675741930987419,0.0,0.9675741930987419,0.9675741930987419
lcro_9_15,fire_only,J,25%,264,66,0.25,5,5,0.34726449070437787,2.268198272673737e-05,0.3472239159401847,0.34727463439542616,5,0.0019757150648622712,2.268198272673737e-05,0.0019351403006691026,0.0019858587559105634,5,0.0019757150648622712,2.268198272673737e-05,0.0019351403006691026,0.0019858587559105634,5,0.20787019591897443,2.268198272673737e-05,0.20786005222792614,0.2079107706831676,5,0.9905849246449485,0.0001080887524583995,0.9905365858853283,0.9907782796834285
lcro_9_15,fire_only,J,50%,264,132,0.5,5,5,0.37688931483813687,5.725413271053048e-05,0.3768033068047541,0.37696465978189503,5,0.0009692453597406114,5.725413271053048e-05,0.0008832373263578108,0.001044590303498738,5,0.0009692453597406114,5.725413271053048e-05,0.0008832373263578108,0.001044590303498738,5,0.1782453717852154,5.725413271053049e-05,0.17817002684145727,0.1783313798185982,5,0.9945917058821344,0.0003194724494164505,0.994171288480036,0.9950716222793177
lcro_9_15,global_stats,terminal,10%,264,26,0.09848484848484848,5,5,0.03752144167486292,0.0011424606661096732,0.03595288223228776,0.03848055732221557,5,0.0031694510808357836,0.0011424606661096732,0.001600891638260625,0.00412856672818844,5,0.0031694510808357836,0.0011424606661096732,0.001600891638260625,0.00412856672818844,5,0.2876237768711878,0.0011424606661096701,0.28666466122383516,0.28919233631376295,5,0.9891006709366742,0.003928773287313827,0.985802397266041,0.9944947423654421
lcro_9_15,global_stats,terminal,25%,264,66,0.25,5,5,0.04583163388694326,0.0,0.04583163388694326,0.04583163388694326,5,0.00031798479683470965,0.0,0.00031798479683470965,0.00031798479683470965,5,0.00031798479683470965,0.0,0.00031798479683470965,0.00031798479683470965,5,0.27931358465910744,0.0,0.27931358465910744,0.27931358465910744,5,0.998862843714487,0.0,0.998862843714487,0.998862843714487
lcro_9_15,global_stats,terminal,50%,264,132,0.5,5,5,0.09759555470734609,0.0002269215315291752,0.09730842082309678,0.09785638336854224,5,0.0015164747156880154,0.0002269215315291752,0.001229340831438705,0.0017773033768841706,5,0.0015164747156880154,0.0002269215315291752,0.001229340831438705,0.0017773033768841706,5,0.22754966383870462,0.0002269215315291799,0.22728883517750847,0.22783679772295395,5,0.9933797516941688,0.0009906376078160377,0.9922410907692403,0.994633249422211
lcro_9_15,global_stats,J,10%,264,26,0.09848484848484848,5,5,0.33704149012282214,0.0014255155207439825,0.33528907433553684,0.3384360380537169,5,0.006326826679257625,0.0014255155207439825,0.0045744108919723026,0.007721374610152376,5,0.006326826679257625,0.0014255155207439825,0.0045744108919723026,0.007721374610152376,5,0.2180931965005301,0.0014255155207439825,0.2166986485696354,0.21984561228781546,5,0.971808100767421,0.0063519979213350845,0.9655940922706054,0.979616743518881
lcro_9_15,global_stats,J,25%,264,66,0.25,5,5,0.3474557573088466,0.0005918593103666329,0.3470667807764263,0.34850515949171196,5,0.002166981669331003,0.0005918593103666328,0.0017780051369106764,0.0032163838521963584,5,0.002166981669331003,0.0005918593103666328,0.0017780051369106764,0.0032163838521963584,5,0.20767892931450574,0.0005918593103666328,0.20662952713164034,0.20806790584692603,5,0.9896734624984047,0.0028204471919027322,0.9846726398569468,0.9915270918142998
lcro_9_15,global_stats,J,50%,264,132,0.5,5,5,0.3768157679124205,8.9330642215958e-05,0.3767165686118074,0.37689956981476186,5,0.0008956984340241836,8.933064221595801e-05,0.0007964991334111216,0.0009795003363655685,5,0.0008956984340241836,8.933064221595801e-05,0.0007964991334111216,0.0009795003363655685,5,0.17831891871093183,8.933064221595801e-05,0.17823511680859044,0.1784181180115449,5,0.9950020905197722,0.0004984562288449241,0.9945344841175912,0.9955556128953094
lcro_9_15,deepsets,terminal,10%,264,26,0.09848484848484848,5,5,0.03722936028901201,0.001003864228496944,0.03597237510033525,0.03806671797512816,5,0.0028773696949848785,0.001003864228496944,0.001620384506308116,0.0037147273811010267,5,0.0028773696949848785,0.001003864228496944,0.001620384506308116,0.0037147273811010267,5,0.28791585825703875,0.001003864228496947,0.28707850057092255,0.2891728434457155,5,0.9901051007437506,0.0034521582072831853,0.9872255368281345,0.9944277089335264
