sample_id,geometry_id,source_batch,fire_family,crack_count,legacy911,flat_response
b004_0199,25ebde8acb6b42456e17c090da56527b8b88215024d5b8f9222fa5e6a9ccb4d3,batch_004,astm_e119,2,True,False
b004_0204,118d2e69bf74f4bcb6b19997061e9ef2b15ae14274bf2ce924585e88d3df5d8e,batch_004,linear,4,True,False
b004_0205,fb7246d0ece425e1f971a0b9c07fc86cb6d9cb61905e4553953b4e51677ef931,batch_004,linear,5,True,False
b004_0206,0f83d6a5c144dfa616333adc1bd57529c0d4b0a6391f6abd2b3df69ae12643d9,batch_004,plateau,8,True,False
b004_0208,1e7355104cb1bc6623bb84e83c8b136fc6530491967649406726860c46d55882,batch_004,plateau,3,True,False
b004_0209,440c0cdd2e0fa5883c06758ead647f3129254dd10b206bf0c4a01275bc82806b,batch_004,plateau,7,True,False
b004_0210,3d3a6ab69f79a2659fa06a42d53a1c5d2a8174c53d3d6daeb381a53ad9cc557f,batch_004,decay,4,True,False
b004_0213,3f812ad4f3820bf20239792631745f7690fae631ac7d3e914d12229dc5c9d7d5,batch_004,decay,8,True,False
b004_0215,f91b3f9c8bcf6d125d533a526fc1a51f7e3f98fbda97e08ff6774775166ec40b,batch_004,decay,2,True,False
b004_0217,66357ba7bd60440243e0daea7860989f9e4ec1986cbc2398115f0422d37c6621,batch_004,decay,2,True,False
b004_0218,9a0b734cf84f061f8501ecea675c2ac08a6a5e347766711f6bdafd630bcc5e15,batch_004,decay,2,True,False
b004_0219,2d5ceb99c115af2608911c8080fa318db8646866e22df6454bb909eb1437cf43,batch_004,decay,7,True,False
b004_0220,bfb61d2b641adb708cba87688728dc5266d29f2190761027adcaaf23934e0e8e,batch_004,decay,7,True,False
b004_0221,81c2e33c38692c2cd0eb540687bfb40131cc2bdc33e6b0aa6b6352b4e7ed6fd4,batch_004,perturbed_iso,4,True,False
b004_0222,81ad67e559ff3c3e4424ba2860e399238ff5f9664bd911a86903ffbcae24c093,batch_004,log_variant,1,True,False
b004_0224,6f1fa828f68e6b92735f6d21f47404586c7fbd13996c6d582f64470d3cf2b167,batch_004,decay,6,True,False
b004_0225,20b3e5584330469869e37b1ec6e0be3100e7994911cd5619fc69a35d0d5ceeac,batch_004,perturbed_iso,5,True,False
b004_0226,61bdc1b24112322d60eb9bd84ba71d642a105873858653a3edd7bfe0a5c1b34e,batch_004,plateau,7,True,False
b004_0227,7ad4917ba9636bcf89f650076432771d3df7039c9bf68144eb699cd150f4aa4c,batch_004,decay,1,True,False
b004_0228,b2a31685d803fadc67269b20d2763bb5b5cffef1b380450777fcd573388ef700,batch_004,log_variant,7,True,False
b004_0229,af1d00f7a0b787f92bf6455e06a745c2e040b11b6d56cb70a91a0e9bbecca3e3,batch_004,plateau,4,True,False
b004_0231,39b46f9ef7b035a80d428468d3274bd20326bbaea07b000943dc340191a0c903,batch_004,astm_e119,5,True,False
b004_0232,c19c313f6ced6796888a79b2f089c97c626a7f821d056d6da34ee52cdd9ede4e,batch_004,plateau,2,True,False
b004_0233,cc51c9cc7938f77939a687d7ce4a4d20821506ac243c80e37dbd34b110676369,batch_004,linear,4,True,False
b004_0234,bda5257a373f117bcd3f46f37dd0e63c78bd78776079d6f3ec7ca9f8b934b3cb,batch_004,perturbed_iso,7,True,False
b004_0235,d7f4845ea8bd2a77038beed1073ae47c682a9f42d70b03de869b9bc4baf9fa5e,batch_004,perturbed_iso,5,True,False
b004_0236,34db13bfaa5dc1dc98497bc33053ef8d971b0f11dd57e85d6cedcb1756b13d7a,batch_004,perturbed_iso,2,True,False
b004_0237,88499fdd80e56d7e7bbe45e699528e57b7fb8931b5018275b92ef780676a34e2,batch_004,linear,7,True,False
b004_0238,ab344aa6b1603d38f985e697b8d5e23f92cabe2cfdec495cd63bf30832b339b7,batch_004,plateau,3,True,False
b004_0240,55e78ad76dffe30f94039740d9ddc8770d777131ae4859d144260b45bcd0cf3b,batch_004,perturbed_iso,4,True,False
b004_0241,95c1e320468969438799b0e31311a9a4d1eae082675978a0a94c7acbea69dd5c,batch_004,decay,2,True,False
b004_0242,f4eb8ad8617aba5bdf6ccfe1f96bdfce5ee1b4a07ac2674ef1580c84aa118140,batch_004,decay,6,True,False
